Date,Description,Category,Cost,Currency,Gus,Joules
2/22/25,Enjoy Gs,General,9.6,EUR,-4.8,4.8
2/22/25,Spesa ,Groceries,115,EUR,-57.5,57.5
2/22/25,Tortillas+accendino,General,12,EUR,6,-6
2/22/25,Pasta/spezie,Groceries,17,EUR,8.5,-8.5
2/24/25,Aluminuo,General,9,EUR,4.5,-4.5
2/27/25,Piu cibo ancora,General,31,EUR,15.5,-15.5
2/28/25,Cinese,General,28.5,EUR,-14.25,14.25
3/1/25,Fradiavolo,General,33,EUR,16.5,-16.5
3/1/25,Esse spesa,Groceries,27.85,EUR,13.93,-13.93
3/2/25,Ramen,General,43.6,EUR,21.8,-21.8
3/4/25,Cibo fragole punti e memes,General,56.81,EUR,28.4,-28.4
3/4/25,Due cene+spesa Chinatown ,Groceries,70,EUR,-35,35
3/5/25,Teokbokki,General,9.34,EUR,4.67,-4.67
3/6/25,Cinema,Movies,21,EUR,-21,21
3/9/25,Spesa piccola ,Groceries,6.8,EUR,3.4,-3.4
3/9/25,Enjoy + cine,Movies,27,EUR,-13.5,13.5
3/11/25,Benzac,General,23.5,EUR,23.5,-23.5
3/12/25,Ffrutta,General,26.11,EUR,13.05,-13.05
3/13/25,Torta,General,48.82,EUR,24.41,-24.41
3/14/25,Spesa,Groceries,14,EUR,-7,7
3/17/25,Firenze + San Gimignano,General,137.5,EUR,-137.5,137.5
3/18/25,Biglietti aerei,General,162.18,EUR,-81.09,81.09
3/20/25,Hotel Bruges,Hotel,126.5,EUR,-63.25,63.25
3/23/25,Firenze musei ,General,12,EUR,12,-12
3/24/25,Indiano,General,46,EUR,-23,23
3/25/25,Cibo gratis,General,18,EUR,-9,9
3/25/25,Pirnesi,General,16,EUR,-16,16
3/25/25,Esselunga,General,57.96,EUR,28.98,-28.98
3/29/25,Eritreo,General,31,EUR,15.5,-15.5
3/29/25,Mac Flurries,General,7.2,EUR,3.6,-3.6
3/30/25,Ciclo Joules,General,23.73,EUR,23.73,-23.73
3/30/25,Sushi,Dining out,40,EUR,-20,20
4/3/25,Esselunga,General,127.61,EUR,63.8,-63.8
4/4/25,Ricecakes?,General,2.8,EUR,1.4,-1.4
4/4/25,Piadine,General,4.9,EUR,2.45,-2.45
4/5/25,Cibo ecuador,General,45.7,EUR,22.85,-22.85
4/5/25,Brita,General,10.3,EUR,10.3,-10.3
4/5/25,Milk tea,Groceries,9.5,EUR,4.75,-4.75
4/9/25,"Ammorbidente, balsamo, ecc",General,28.89,EUR,14.45,-14.45
4/22/25,Date infinito Gus and Joules (non è ancora finito),General,123,EUR,-61.5,61.5
4/24/25,Spesa unes,Groceries,16.5,EUR,-8.25,8.25
4/25/25,Mozzarella Basilico e fragole,General,12,EUR,6,-6
4/25/25,Cinese,General,24.6,EUR,12.3,-12.3
4/26/25,Sushi e spesa,Groceries,67,EUR,-33.5,33.5
4/27/25,Pizzaaa,General,27,EUR,-13.5,13.5
4/27/25,Carrefour,Groceries,18.63,EUR,9.32,-9.32
4/28/25,Gelato,Dining out,4.8,EUR,2.4,-2.4
4/29/25,Carrefour,Groceries,9.96,EUR,4.98,-4.98
5/5/25,Esselunga,General,64,EUR,32,-32
5/21/25,Esselunga,General,131.7,EUR,65.85,-65.85
5/25/25,Teokbokki,General,28,EUR,14,-14
5/26/25,Formaggio ,General,5.75,EUR,-2.88,2.88
5/28/25,Spesa,Groceries,4.35,EUR,2.18,-2.18
5/28/25,Tortillas,General,40,EUR,-20,20
5/31/25,Gelato mochi cinese,Dining out,55,EUR,-27.5,27.5
6/1/25,Ramen,General,39.5,EUR,19.75,-19.75
6/1/25,Pizzaaaaaa Gs,General,17,EUR,-8.5,8.5
6/3/25,Spesaaa,General,106,EUR,-53,53
6/9/25,"Un Ramen, mochi e spesa",Groceries,100,EUR,-50,50
6/11/25,Chifa + piante,General,33,EUR,16.5,-16.5
6/13/25,Riso+fiori,General,30,EUR,15,-15
6/14/25,Cinese,General,29,EUR,14.5,-14.5
6/19/25,Mochi Gs,General,16.5,EUR,8.25,-8.25
6/21/25,Korean FC,General,21.8,EUR,10.9,-10.9
6/24/25,Lidl,Groceries,156.58,EUR,-78.29,78.29
6/25/25,Monopatino,General,3.85,EUR,1.93,-1.93
6/25/25,Deliveroo,General,27,EUR,13.5,-13.5
6/25/25,Ingredienti torta,General,27.8,EUR,13.9,-13.9
6/25/25,Risp sushi gnocchi riso,Dining out,9.8,EUR,4.9,-4.9
6/28/25,Pane,General,8,EUR,4,-4
6/30/25,Esselunga,General,56.03,EUR,28.01,-28.01
7/3/25,Pizze,General,16,EUR,8,-8
7/12/25,Esse,General,78,EUR,39,-39
7/13/25,Bollette,General,175,EUR,-175,175
7/18/25,Pad Thai J,Dining out,12.5,EUR,12.5,-12.5
7/20/25,Gus M. paid Giulia S.,Payment,258.52,EUR,258.52,-258.52
7/20/25,Cibo cinese,General,16,EUR,8,-8
7/21/25,Cinese con miche,General,32,EUR,16,-16
7/25/25,Prelievo extra per affitto,General,120,EUR,-120,120
8/7/25,Candele,General,34,EUR,-17,17
8/7/25,Coke,General,3.5,EUR,1.75,-1.75
8/7/25,Gelato J,Dining out,3.9,EUR,3.9,-3.9
8/25/25,Api Gus,General,12.2,EUR,12.2,-12.2
8/30/25,Biglietti tren,Bus/train,59,EUR,29.5,-29.5
8/30/25,Pizza,Dining out,15.5,EUR,-7.75,7.75
9/2/25,Carrefour,Groceries,25.65,EUR,12.83,-12.83
9/4/25,Gelato scontato 1kg,Dining out,13,EUR,6.5,-6.5
9/5/25,Pizza + gelato coppetta,Dining out,39,EUR,-19.5,19.5
9/5/25,Esselunga+halal+asciugamani+carta igienica,Groceries,104.81,EUR,52.41,-52.41
9/6/25,Affitto gus,General,200,EUR,-200,200
9/10/25,Burger chan,Dining out,16.1,EUR,8.05,-8.05
9/12/25,Esselunga-chan,General,143,EUR,71.5,-71.5
9/16/25,Carne+pollo,Groceries,52,EUR,26,-26
9/16/25,Cinese,General,39,EUR,-19.5,19.5
9/19/25,Medicina J,General,33.9,EUR,33.9,-33.9
9/20/25,Mia metà Revolut,General,30,EUR,-30,30
9/23/25,Gochujang and friends,General,20,EUR,10,-10
9/24/25,Mr Muscle Doccia,General,5,EUR,2.5,-2.5
9/25/25,Alice laurea,General,18.4,EUR,9.2,-9.2
9/28/25,Zitti Gs,General,28,EUR,-14,14
9/30/25,Esselunga,General,19.8,EUR,9.9,-9.9
9/30/25,Carne,Groceries,29.3,EUR,14.65,-14.65
10/2/25,Cibo,General,8,EUR,4,-4
10/4/25,Esselunga,General,102.61,EUR,51.31,-51.31
